Project Name,URL,Language,Forks,Watchers,Size Byte,Stars,Topics,Contributors,Type
reduxjs/redux,https://github.com/reduxjs/redux,TypeScript,15120,57576,25376,57576,['redux'],922,['Other']
gohugoio/hugo,https://github.com/gohugoio/hugo,Go,6486,57370,108151,57370,"['blog-engine', 'cms', 'content-management-system', 'documentation-tool', 'go', 'hacktoberfest', 'hugo', 'static-site-generator']",778,['Other']
atom/atom,https://github.com/atom/atom,JavaScript,16905,56895,329179,56895,"['atom', 'editor', 'electron', 'javascript', 'linux', 'macos', 'windows']",626,['Other']
kdn251/interviews,https://github.com/kdn251/interviews,Java,11942,56376,24091,56376,"['algorithm', 'algorithm-challenges', 'algorithm-competitions', 'algorithms', 'coding-challenge', 'coding-challenges', 'coding-interview', 'coding-interviews', 'interview', 'interview-practice', 'interview-prep', 'interview-preparation', 'interview-questions', 'interviews', 'java', 'leetcode', 'leetcode-java', 'leetcode-questions', 'leetcode-solutions', 'technical-coding-interview']",42,['Other']
sveltejs/svelte,https://github.com/sveltejs/svelte,TypeScript,2766,56351,68350,56351,"['compiler', 'template', 'ui']",514,['Other']
chartjs/Chart.js,https://github.com/chartjs/Chart.js,JavaScript,11380,56314,35936,56314,"['canvas', 'chart', 'graph', 'hacktoberfest', 'html5', 'html5-charts', 'javascript']",427,['Web Application']
macrozheng/mall,https://github.com/macrozheng/mall,Java,23983,56304,57611,56304,"['docker', 'elasticsearch', 'elk', 'java', 'mongodb', 'mybatis', 'mysql', 'rabbitmq', 'redis', 'spring', 'spring-boot', 'spring-cloud', 'spring-security', 'springboot', 'springcloud', 'swagger-ui']",2,['Other']
expressjs/express,https://github.com/expressjs/express,JavaScript,9515,56129,9384,56129,"['express', 'javascript', 'nodejs', 'server']",302,['Other']
gin-gonic/gin,https://github.com/gin-gonic/gin,Go,6333,56005,2738,56005,"['framework', 'gin', 'go', 'middleware', 'performance', 'router', 'server']",361,"['Web Application', 'Framework']"
jquery/jquery,https://github.com/jquery/jquery,JavaScript,20285,55903,31130,55903,['jquery'],331,['Other']
