Project Name,URL,Language,Forks,Watchers,Size Byte,Stars,Topics,Contributors
gohugoio/hugo,https://github.com/gohugoio/hugo,Go,6487,57290,108395,57290,"['blog-engine', 'cms', 'content-management-system', 'documentation-tool', 'go', 'hacktoberfest', 'hugo', 'static-site-generator']",778
atom/atom,https://github.com/atom/atom,JavaScript,16893,56871,328927,56871,"['atom', 'editor', 'electron', 'javascript', 'linux', 'macos', 'windows']",626
kdn251/interviews,https://github.com/kdn251/interviews,Java,11931,56325,24091,56325,"['algorithm', 'algorithm-challenges', 'algorithm-competitions', 'algorithms', 'coding-challenge', 'coding-challenges', 'coding-interview', 'coding-interviews', 'interview', 'interview-practice', 'interview-prep', 'interview-preparation', 'interview-questions', 'interviews', 'java', 'leetcode', 'leetcode-java', 'leetcode-questions', 'leetcode-solutions', 'technical-coding-interview']",42
chartjs/Chart.js,https://github.com/chartjs/Chart.js,JavaScript,11378,56280,35208,56280,"['canvas', 'chart', 'graph', 'hacktoberfest', 'html5', 'html5-charts', 'javascript']",427
sveltejs/svelte,https://github.com/sveltejs/svelte,TypeScript,2753,56263,68312,56263,"['compiler', 'template', 'ui']",512
macrozheng/mall,https://github.com/macrozheng/mall,Java,23938,56212,57609,56212,"['docker', 'elasticsearch', 'elk', 'java', 'mongodb', 'mybatis', 'mysql', 'rabbitmq', 'redis', 'spring', 'spring-boot', 'spring-cloud', 'spring-security', 'springboot', 'springcloud', 'swagger-ui']",2
expressjs/express,https://github.com/expressjs/express,JavaScript,9509,56089,9364,56089,"['express', 'javascript', 'nodejs', 'server']",301
jquery/jquery,https://github.com/jquery/jquery,JavaScript,20282,55896,31125,55896,['jquery'],331
gin-gonic/gin,https://github.com/gin-gonic/gin,Go,6321,55883,2728,55883,"['framework', 'gin', 'go', 'middleware', 'performance', 'router', 'server']",361
nvm-sh/nvm,https://github.com/nvm-sh/nvm,Shell,5836,55665,3355,55665,"['bash', 'install', 'lts', 'node', 'node-js', 'nodejs', 'nvm', 'nvmrc', 'posix', 'posix-compliant', 'shell', 'version-manager', 'zsh']",346
socketio/socket.io,https://github.com/socketio/socket.io,TypeScript,9981,55294,15186,55294,[],203
adam-p/markdown-here,https://github.com/adam-p/markdown-here,JavaScript,10546,54481,16032,54481,[],12
pytorch/pytorch,https://github.com/pytorch/pytorch,C++,15014,54199,747143,54199,"['autograd', 'deep-learning', 'gpu', 'machine-learning', 'neural-network', 'numpy', 'python', 'tensor']",3116
keras-team/keras,https://github.com/keras-team/keras,Python,19003,54079,22245,54079,"['data-science', 'deep-learning', 'machine-learning', 'neural-networks', 'python', 'tensorflow']",1034
tailwindlabs/tailwindcss,https://github.com/tailwindlabs/tailwindcss,JavaScript,2637,53972,65353,53972,"['css', 'css-framework', 'functional-css', 'postcss', 'responsive', 'tailwindcss', 'utility-classes']",215
shadowsocks/shadowsocks-windows,https://github.com/shadowsocks/shadowsocks-windows,C#,16267,53913,13485,53913,"['c-sharp', 'proxy', 'shadowsocks']",87
redis/redis,https://github.com/redis/redis,C,20791,53671,111723,53671,[],651
fatedier/frp,https://github.com/fatedier/frp,Go,9768,53651,25044,53651,"['expose', 'firewall', 'frp', 'go', 'http-proxy', 'nat', 'proxy', 'reverse-proxy', 'tunnel']",82
ripienaar/free-for-dev,https://github.com/ripienaar/free-for-dev,HTML,5835,53506,5634,53506,[],1249
josephmisiti/awesome-machine-learning,https://github.com/josephmisiti/awesome-machine-learning,Python,13115,53321,5019,53321,[],554
papers-we-love/papers-we-love,https://github.com/papers-we-love/papers-we-love,Shell,4439,53268,229161,53268,"['awesome', 'computer-science', 'meetup', 'papers', 'programming', 'read-papers', 'theory']",270
protocolbuffers/protobuf,https://github.com/protocolbuffers/protobuf,C++,13749,53198,90312,53198,"['marshalling', 'protobuf', 'protobuf-runtime', 'protoc', 'protocol-buffers', 'protocol-compiler', 'rpc', 'serialization']",926
coder/code-server,https://github.com/coder/code-server,TypeScript,4306,51841,50049,51841,"['browser-ide', 'dev-tools', 'development-environment', 'ide', 'remote-work', 'vscode', 'vscode-remote']",167
chrislgarry/Apollo-11,https://github.com/chrislgarry/Apollo-11,Assembly,6769,52531,2942,52531,"['agc', 'apollo', 'hacktoberfest', 'nasa']",169
gatsbyjs/gatsby,https://github.com/gatsbyjs/gatsby,JavaScript,10141,52416,963060,52416,"['blog', 'compiler', 'documentation-tool', 'gatsby', 'graphql', 'react', 'static-site-generator', 'web-app']",4175
h5bp/html5-boilerplate,https://github.com/h5bp/html5-boilerplate,JavaScript,11961,52400,22118,52400,"['best-practices', 'css', 'html', 'html5', 'html5-boilerplate', 'javascript', 'robust']",296
h5bp/Front-end-Developer-Interview-Questions,https://github.com/h5bp/Front-end-Developer-Interview-Questions,Nunjucks,10243,52351,3374,52351,"['css-questions', 'front-end', 'html-questions', 'interview-questions', 'interview-test', 'js-questions']",258
lodash/lodash,https://github.com/lodash/lodash,JavaScript,6321,52331,47581,52331,"['javascript', 'lodash', 'modules', 'utilities']",327
ansible/ansible,https://github.com/ansible/ansible,Python,21605,52258,212535,52258,"['ansible', 'hacktoberfest', 'python']",6524
coder/code-server,https://github.com/coder/code-server,TypeScript,4306,51841,50049,51841,"['browser-ide', 'dev-tools', 'development-environment', 'ide', 'remote-work', 'vscode', 'vscode-remote']",167
ElemeFE/element,https://github.com/ElemeFE/element,Vue,13699,51719,82513,51719,"['components', 'element-ui', 'javascript', 'ui-kit', 'vue', 'vue-components', 'vuejs']",605
